img_url,card_name,double-sided,cost
https://cards.scryfall.io/large/front/b/1/b1e92b9c-4234-436d-a741-37c5e45859e5.jpg?1625192099,"Rionya, Fire Dancer (Commander 2021 #55)",False,2
https://cards.scryfall.io/large/front/8/8/88f4aecc-b728-4960-8131-1e5aa6c3c030.jpg?1690016969,"Rishkar, Peema Renegade (Commander Masters #317)",False,1
https://cards.scryfall.io/large/front/5/1/51d8f1fa-ca92-4e2e-91e8-195bdad82def.jpg?1654568577,"Risona, Asari Commander (Kamigawa: Neon Dynasty #233)",False,2
https://cards.scryfall.io/large/front/a/c/ac148784-b7b6-4aae-bffb-a4cf09f56971.jpg?1673308054,"Rith, Liberated Primeval (Dominaria United #214)",False,3
https://cards.scryfall.io/large/front/e/1/e1a75961-39a3-4221-9367-a763cf871d42.jpg?1675200740,"Rith, the Awakener (Dominaria Remastered #198)",False,3
https://cards.scryfall.io/large/front/9/a/9a47573a-601e-4738-acef-16118289f939.jpg?1673308061,Rivaz of the Claw (Dominaria United #215),False,2
https://cards.scryfall.io/large/front/e/d/ed665227-02ba-4977-a8e7-ea4e46a626e6.jpg?1562945004,Riven Turnbull (Masters Edition III #171),False,2
https://cards.scryfall.io/large/front/a/1/a1efb084-d2a0-44c4-a89d-6445156bb298.jpg?1696636758,River Song (Doctor Who #152),False,2
https://cards.scryfall.io/large/front/a/5/a52a5f4b-d2e1-405e-82b4-ea35ab851c42.jpg?1673485159,"Roalesk, Apex Hybrid (New Capenna Commander #349)",False,3
https://cards.scryfall.io/large/front/b/6/b6cf8b35-2a81-40fd-b383-becb81bef806.jpg?1664413683,"Rocco, Cabaretti Caterer (Streets of New Capenna #218)",False,3
https://cards.scryfall.io/large/front/c/d/cdb53ce7-845c-4c62-98a9-4fc33c67a07b.jpg?1684340828,"Rocco, Street Chef (March of the Machine: The Aftermath #44)",False,3
https://cards.scryfall.io/large/front/d/9/d9afd47b-ff94-4fdd-bb04-bdf9b8b61a6d.jpg?1682896157,Rodolf Duskbringer (Jumpstart 2022 #25),False,1
https://cards.scryfall.io/large/front/a/4/a4fab67f-00c2-4125-9262-d21a29411797.jpg?1644853041,"Rograkh, Son of Rohgahh (Commander Legends #197)",False,1
https://cards.scryfall.io/large/front/8/4/84e87400-cc3f-4476-b177-2c36a65f277b.jpg?1673304981,"Rohgahh, Kher Keep Overlord (Dominaria United Commander #41)",False,2
https://cards.scryfall.io/large/front/1/4/1429cc3d-f6a2-4011-b716-5c3e0cf251d0.jpg?1562899257,Rohgahh of Kher Keep (Masters Edition III #172),False,4
https://cards.scryfall.io/large/front/4/c/4ccc3ebd-34e1-421c-87b4-0be905954289.jpg?1696691793,Romana II (Doctor Who #27),False,1
https://cards.scryfall.io/large/front/4/5/45420f5e-f7f8-4db7-9b54-e2fa1be22094.jpg?1562734878,"Rona, Disciple of Gix (Dominaria #203)",False,2
https://cards.scryfall.io/large/front/f/4/f487b582-e73f-4325-939f-95fc5a9aba49.jpg?1682203390,"Rona, Herald of Invasion // Rona, Tolarian Obliterator (March of the Machine #75)",True,1
https://cards.scryfall.io/large/front/c/c/cc8331ab-adc9-45c6-9728-66afc72d901c.jpg?1673308068,"Rona, Sheoldred's Faithful (Dominaria United #216)",False,3
https://cards.scryfall.io/large/front/5/4/54e2d6c2-a233-4e37-94c9-673a4a957e0c.jpg?1673149092,Roon of the Hidden Realm (Double Masters 2022 #270),False,3
https://cards.scryfall.io/large/front/a/c/acb8f24d-8d1d-48aa-a534-238e969a474c.jpg?1624739798,"Rootha, Mercurial Artist (Strixhaven: School of Mages #227)",False,2
https://cards.scryfall.io/large/front/3/2/32668329-2f62-48ed-8da3-3cb0c3692ed9.jpg?1690016965,Rorix Bladewing (Commander Masters #251),False,3
https://cards.scryfall.io/large/front/f/5/f51a010d-641c-413f-8f91-0c8ff3b2085c.jpg?1696636758,Rory Williams (Doctor Who #153),False,2
https://cards.scryfall.io/large/front/f/8/f803a510-99fe-467a-be3b-9301497ec7ec.jpg?1708742209,"Rose, Cutthroat Raider (Fallout #66)",False,2
https://cards.scryfall.io/large/front/3/9/39edd98a-2ee9-4799-9194-5b5a3efb6255.jpg?1707370988,Rose Noble (Secret Lair Drop #1580),False,1
https://cards.scryfall.io/large/front/3/a/3aa8d034-f98c-4e27-b6af-850eadf59941.jpg?1696691620,Rose Tyler (Doctor Who #5),False,1
https://cards.scryfall.io/large/front/4/7/472efa7f-203f-4c48-b9ad-505e18f2976f.jpg?1562848454,Rosheen Meanderer (Iconic Masters #206),False,1
https://cards.scryfall.io/large/front/7/5/75338f49-1f02-4333-87e4-5779ef14e688.jpg?1686967894,Rosie Cotton of South Lane (The Lord of the Rings: Tales of Middle-earth #27),False,1
https://cards.scryfall.io/large/front/0/1/013e33d4-7d08-4773-a570-469ae3cf92f2.jpg?1673304869,"Rosnakht, Heir of Rohgahh (Dominaria United Commander #25)",False,1
https://cards.scryfall.io/large/front/e/4/e4f250af-01fb-41dd-b6da-8b636166058f.jpg?1677508195,"Rothga, Bonded Engulfer (Alchemy: Phyrexia #14)",False,2
https://cards.scryfall.io/large/front/b/c/bcf0514e-63b3-4695-93ae-527524d48c25.jpg?1674142098,Rowan Kenrith (Commander Legends: Battle for Baldur's Gate #805),False,2
https://cards.scryfall.io/large/front/4/e/4ee179ab-a15b-4bd6-b7f8-1e1abeeb31b7.jpg?1692939409,"Rowan, Scion of War (Wilds of Eldraine #211)",False,2
https://cards.scryfall.io/large/front/f/7/f7999a76-35b0-43de-8d13-8fc0d447a9d1.jpg?1673914969,"Roxi, Publicist to the Stars (Unfinity #177)",False,2
https://cards.scryfall.io/large/front/c/e/ce216785-aa81-44b4-9562-9b7eca743a0c.jpg?1592673455,Rubinia Soulsinger (Commander Anthology #191),False,3
https://cards.scryfall.io/large/front/f/f/ffb5786b-6825-4ebf-a1e1-80011340adbb.jpg?1692939424,"Ruby, Daring Tracker (Wilds of Eldraine #212)",False,2
https://cards.scryfall.io/large/front/7/f/7fa40fde-2c11-4dec-b788-01f8d90198df.jpg?1592714235,Ruhan of the Fomori (Commander 2011 #221),False,3
https://cards.scryfall.io/large/front/0/b/0b2f7397-9d75-4667-8872-e58a39512583.jpg?1691497909,"Rukarumel, Biologist (Commander Masters #711)",False,5
https://cards.scryfall.io/large/front/3/f/3fa49711-473d-4774-99b8-2bfbabc6b735.jpg?1673308075,"Rulik Mons, Warren Chief (Dominaria United #217)",False,3
https://cards.scryfall.io/large/front/f/4/f4f5500f-e82c-44f3-8be8-cee4c86824b1.jpg?1675644838,"Runadi, Behemoth Caller (Jumpstart 2022 #44)",False,1
https://cards.scryfall.io/large/front/4/2/42ba0e13-d20f-47f9-9c86-2b0b13c39ada.jpg?1562493487,"Rune-Tail, Kitsune Ascendant // Rune-Tail's Essence (Saviors of Kamigawa #27)",True,1
https://cards.scryfall.io/large/front/f/6/f6c0fca5-b759-4543-95e2-8d712aae5281.jpg?1643594355,"Runo Stromkirk // Krothuss, Lord of the Deep (Innistrad: Crimson Vow #246)",True,2
https://cards.scryfall.io/large/front/a/a/aa828bdc-221e-4e81-9e71-6f288690ddcd.jpg?1673149099,"Ruric Thar, the Unbowed (Double Masters 2022 #271)",False,2
https://cards.scryfall.io/large/front/0/1/01b4c54e-7950-4183-a69d-39a777f424bc.jpg?1680464136,"Rusko, Clockmaker (Alchemy: The Brothers' War #24)",False,2
https://cards.scryfall.io/large/front/e/0/e07b8142-6a49-46e7-b862-41f89a59b894.jpg?1681953511,"Ruxa, Patient Professor (Commander 2021 #66)",False,2
https://cards.scryfall.io/large/front/4/2/42684d97-fce6-4a96-9c64-20e2cb382dca.jpg?1696691786,Ryan Sinclair (Doctor Who #94),False,1
https://cards.scryfall.io/large/front/6/8/68d57ab8-fbe0-4f01-b7f7-2a5cccd2d13a.jpg?1674142106,"Ryusei, the Falling Star (Commander Legends: Battle for Baldur's Gate #806)",False,1
https://cards.scryfall.io/large/front/4/c/4c45b36f-b879-417c-b284-0176990fb9f9.jpg?1562759878,"Sachi, Daughter of Seshiro (Champions of Kamigawa #238)",False,2
https://cards.scryfall.io/large/front/e/9/e9367f66-6556-459c-a43d-5ba7a84b568d.jpg?1674136257,"Safana, Calimport Cutthroat (Commander Legends: Battle for Baldur's Gate #143)",False,1
https://cards.scryfall.io/large/front/4/1/4176dda4-ec5c-4734-bb48-0876304aa219.jpg?1619404114,Saffi Eriksdotter (Time Spiral Remastered #260),False,2
https://cards.scryfall.io/large/front/c/a/ca095559-ac77-4186-8d9b-b75ce0607582.jpg?1592710284,"Saheeli, the Gifted (Commander 2018 #44)",False,2
https://cards.scryfall.io/large/front/0/b/0ba99b60-c7d0-4041-a065-f2c510745223.jpg?1699044570,"Saheeli, the Sun's Brilliance (The Lost Caverns of Ixalan #239)",False,2
https://cards.scryfall.io/large/front/a/d/ad0b5c09-5075-408e-84c5-1095354ac53e.jpg?1689996602,"Sai, Master Thopterist (Commander Masters #118)",False,1
https://cards.scryfall.io/large/front/5/5/55a45de4-cc76-4aa0-a1dc-24df8e495215.jpg?1701606017,Saint Traft and Rem Karolus (March of the Machine Commander #9),False,3
https://cards.scryfall.io/large/front/7/1/714c3a1f-7b30-4ed8-8f38-6176758741fb.jpg?1608909400,Sakashima of a Thousand Faces (Commander Legends #89),False,1
https://cards.scryfall.io/large/front/6/1/61dc2f54-3637-4caa-9741-36ff14dc5527.jpg?1562494177,Sakashima the Impostor (Saviors of Kamigawa #53),False,2
https://cards.scryfall.io/large/front/8/d/8dbdb5f5-cd6e-47cd-b83d-ff71b00c369e.jpg?1689998837,"Sakiko, Mother of Summer (Commander Masters #319)",False,2
https://cards.scryfall.io/large/front/b/3/b33354a5-d99a-46dd-8715-34dbc5f0ec3b.jpg?1696636763,Sally Sparrow (Doctor Who #155),False,2
https://cards.scryfall.io/large/front/6/8/687a2b76-3f05-4732-bd9b-513d06d16300.jpg?1686963755,"Sam, Loyal Attendant (Tales of Middle-earth Commander #7)",False,2
https://cards.scryfall.io/large/front/a/0/a0f3fdb0-47ad-4df6-a95c-a2c81aaf7af5.jpg?1684340837,"Samut, Vizier of Naktamun (March of the Machine: The Aftermath #45)",False,2
https://cards.scryfall.io/large/front/6/0/60f2d8f1-43a9-438a-830c-9d6b5701f950.jpg?1543676097,"Samut, Voice of Dissent (Amonkhet #205)",False,2
https://cards.scryfall.io/large/front/a/1/a1b6f13e-63d0-46bf-aa57-23c2dbdf62dd.jpg?1686969973,Samwise Gamgee (The Lord of the Rings: Tales of Middle-earth #222),False,2
https://cards.scryfall.io/large/front/2/1/214c270e-29ca-4d69-bea6-9252ae7707ad.jpg?1686967902,Samwise the Stouthearted (The Lord of the Rings: Tales of Middle-earth #28),False,1
https://cards.scryfall.io/large/front/7/0/70cb4359-8e57-4d1a-bf1f-c188555376ce.jpg?1688125582,"Sanwell, Avenger Ace (The Brothers' War Commander #5)",False,1
https://cards.scryfall.io/large/front/3/3/33c19062-9e1c-4cae-bb97-7ca9e4523593.jpg?1625978030,Sapling of Colfenor (Commander 2021 #228),False,2
https://cards.scryfall.io/large/front/a/6/a65a1fb5-cc2c-4556-b109-05c3d966ded9.jpg?1688318298,"Saradoc, Master of Buckland (The Lord of the Rings: Tales of Middle-earth #282)",False,1
https://cards.scryfall.io/large/front/1/b/1ba76f68-e647-4786-903c-92dbd3cef05d.jpg?1696691789,Sarah Jane Smith (Doctor Who #6),False,1
https://cards.scryfall.io/large/front/4/0/4009d5ab-945d-43c3-9077-f10f96249fc4.jpg?1674136269,"Sarevok, Deathbringer (Commander Legends: Battle for Baldur's Gate #144)",False,1
https://cards.scryfall.io/large/front/c/4/c41156c8-ddd1-4492-ab0f-02c4a7423181.jpg?1656626046,Sarevok the Usurper (Alchemy Horizons: Baldur's Gate #9),False,1
https://cards.scryfall.io/large/front/6/2/6225f139-f6eb-4eb5-9776-159a599d8255.jpg?1684340846,"Sarkhan, Soul Aflame (March of the Machine: The Aftermath #46)",False,2
https://cards.scryfall.io/large/front/b/c/bcecf9ba-36da-490a-9460-99ff87d99fbd.jpg?1631051850,"Sarulf, Realm Eater (Kaldheim #228)",False,2
https://cards.scryfall.io/large/front/8/c/8cfcc7ec-87a2-4712-8d82-217bd8600891.jpg?1686969983,Saruman of Many Colors (The Lord of the Rings: Tales of Middle-earth #223),False,3
https://cards.scryfall.io/large/front/1/b/1bfccbab-29fa-4e92-8919-6cd4815fb655.jpg?1686968266,Saruman the White (The Lord of the Rings: Tales of Middle-earth #67),False,1
https://cards.scryfall.io/large/front/6/4/6487ccbf-f6cd-45a6-8514-2c458b655ef2.jpg?1686963765,"Saruman, the White Hand (Tales of Middle-earth Commander #8)",False,3
https://cards.scryfall.io/large/front/8/0/8050afb7-3c16-4456-aa34-4cc999fac7f5.jpg?1706240929,"Saryth, the Viper's Fang (Murders at Karlov Manor Commander #185)",False,2
https://cards.scryfall.io/large/front/d/2/d224c50f-8146-4c91-9401-04e5bd306d02.jpg?1562496100,"Sasaya, Orochi Ascendant // Sasaya's Essence (Saviors of Kamigawa #145)",True,2
https://cards.scryfall.io/large/front/5/b/5b483db6-b614-4af1-820a-42a4ee0c8707.jpg?1562401580,Saskia the Unyielding (Commander 2016 #41),False,4
https://cards.scryfall.io/large/front/8/8/8887f26d-b097-4fbc-9c48-bdc656409a32.jpg?1654568594,Satoru Umezawa (Kamigawa: Neon Dynasty #234),False,2
https://cards.scryfall.io/large/front/0/1/0152575b-31b0-4142-9cc2-b87a81bd51a8.jpg?1654568597,"Satsuki, the Living Lore (Kamigawa: Neon Dynasty #235)",False,2
https://cards.scryfall.io/large/front/f/c/fc53dec0-79fe-4f6f-9d5b-cf298588e808.jpg?1686963724,"Sauron, Lord of the Rings (Tales of Middle-earth Commander #4)",False,3
https://cards.scryfall.io/large/front/0/3/034e0929-b2c7-4b5f-94f2-8eaf4fb1a2a1.jpg?1693611218,"Sauron, the Dark Lord (The Lord of the Rings: Tales of Middle-earth #224)",False,3
https://cards.scryfall.io/large/front/d/8/d82a4c78-d2fc-425a-8d0e-2e64509a08f1.jpg?1687424758,"Sauron, the Lidless Eye (The Lord of the Rings: Tales of Middle-earth #288)",False,2
https://cards.scryfall.io/large/front/3/7/377d65d8-21c8-4292-97db-610e0173ba59.jpg?1686968699,"Sauron, the Necromancer (The Lord of the Rings: Tales of Middle-earth #106)",False,2
https://cards.scryfall.io/large/front/e/1/e189f09e-d637-4631-bae3-a5a583ada429.jpg?1702429705,"Savra, Queen of the Golgari (Ravnica Remastered #218)",False,2
https://cards.scryfall.io/large/front/c/8/c876f9b3-b4f6-4177-9c43-443ae2a028d0.jpg?1674136278,Scion of Halaster (Commander Legends: Battle for Baldur's Gate #145),False,1
https://cards.scryfall.io/large/front/5/6/565b2a40-57b1-451f-8c2a-e02222502288.jpg?1562608891,Scion of the Ur-Dragon (Commander 2017 #192),False,5
https://cards.scryfall.io/large/front/a/4/a4e787a7-3721-4ba7-b643-a103488cfc8a.jpg?1673149122,"Sedris, the Traitor King (Double Masters 2022 #274)",False,3
https://cards.scryfall.io/large/front/d/3/d30255f6-e058-476a-b377-2ee4c9178ed1.jpg?1632335385,Sefris of the Hidden Ways (Forgotten Realms Commander #3),False,3
https://cards.scryfall.io/large/front/e/1/e1e61750-f7d7-4e6d-9d68-e1e357868a8d.jpg?1587857636,"Seizan, Perverter of Truth (Champions of Kamigawa #143)",False,2
https://cards.scryfall.io/large/front/9/8/9883e973-54c3-4bec-91d8-22f2829cdfa2.jpg?1562495122,"Sekki, Seasons' Guide (Saviors of Kamigawa #148)",False,3
https://cards.scryfall.io/large/front/a/8/a873dbe5-d95a-4ecb-ac0a-8dc6c40f3576.jpg?1689999244,"Sek'Kuar, Deathkeeper (Commander Masters #354)",False,3
https://cards.scryfall.io/large/front/6/6/664b57e3-9476-4d6a-8301-5a2f96bcfbf7.jpg?1562429830,"Selenia, Dark Angel (Tempest Remastered #210)",False,2
https://cards.scryfall.io/large/front/2/8/28c1b84a-a21b-4df1-9fc9-5b387fb56810.jpg?1706241026,"Selvala, Explorer Returned (Murders at Karlov Manor Commander #218)",False,2
https://cards.scryfall.io/large/front/7/d/7d711cb2-4f34-4792-90d7-2be5d329a347.jpg?1689998846,"Selvala, Heart of the Wilds (Commander Masters #320)",False,2
https://cards.scryfall.io/large/front/8/7/8778b33c-efab-4b65-b6e3-f0e3d1d8f937.jpg?1706239557,Senator Peacock (Ravnica: Clue Edition #2),False,2
